ranking ,country,total score,quantity score,quality score,business score
1,United States,124.42,19.45,101.17,3.8
2,United Kingdom,28.719,8.16,16.86,3.7
3,Israel,27.741,5.48,19.14,3.13
4,Canada,19.876,6.58,9.75,3.55
5,Germany,17.053,3.64,9.93,3.49
6,Sweden,15.423,2.4,9.24,3.78
7,China,15.128,1.33,11.46,2.34
8,Switzerland,14.943,3.82,7.58,3.54
9,Australia,13.835,4.46,5.88,3.5
10,Singapore,13.745,3.21,7.69,2.84
11,The Netherlands,13.7,3.44,6.96,3.3
12,France,13.286,3.03,6.85,3.41
13,Estonia,12.428,3.19,5.77,3.47
14,Finland,11.582,2.68,5.26,3.64
15,Spain,11.146,3.48,4.35,3.31
16,Lithuania,9.992,3.77,2.98,3.25
17,Russia,9.813,2.17,5.14,2.51
18,Ireland,9.633,2.51,3.68,3.44
19,South Korea,8.888,0.68,4.96,3.24
20,India,8.833,1.83,4.4,2.61
21,Japan,8.709,0.99,4.42,3.3
22,Denmark,8.368,2.04,2.68,3.65
23,Belgium,7.359,2.07,1.98,3.31
24,Brazil,7.326,1.05,3.99,2.29
25,United Arab Emirates,6.951,1.73,2.42,2.8
26,Taiwan,6.946,1.5,2.09,3.36
27,Portugal,6.939,1.6,2.53,2.81
28,Austria,6.936,1.75,1.67,3.52
29,Italy,6.602,1.68,1.87,3.06
30,Poland,6.515,1.4,1.95,3.17
31,Norway,6.386,1.15,1.57,3.66
32,Czechia,6.226,1.24,1.72,3.26
33,New Zealand,5.865,1.05,1.12,3.69
34,Ukraine,5.705,1.01,2.09,2.6
35,Bulgaria,5.209,1.88,0.58,2.75
36,Chile,4.976,1.11,1.24,2.63
37,Croatia,4.907,0.97,1.06,2.88
38,Mexico,4.8,0.63,1.63,2.54
39,Argentina,4.613,1.11,1.52,1.98
40,Malaysia,4.411,0.55,1.18,2.68
41,Romania,4.26,0.81,0.93,2.52
42,Latvia,4.175,1.3,0.33,2.55
43,Luxembourg,3.886,1.21,0.38,2.3
44,Turkey,3.723,0.87,0.72,2.14
45,Indonesia,3.657,0.32,1.82,1.52
46,Slovenia,3.604,1.14,0.29,2.18
47,Colombia,3.547,0.63,1.03,1.89
48,South Africa,3.518,0.49,1.15,1.89
49,Hungary,3.445,1.06,0.34,2.04
50,Thailand,3.081,0.41,1.01,1.67
51,Uruguay,3,0.29,1.13,1.58
52,Philippines,2.852,0.53,0.81,1.52
53,Serbia,2.68,0.85,0.29,1.53
54,Greece,2.538,0.74,0.33,1.47
55,Iceland,2.177,0.54,0.36,1.27
56,Slovakia,2.069,0.6,0.21,1.26
57,Cyprus,1.854,0.55,0.23,1.08
58,North Macedonia,1.849,0.2,0.58,1.07
59,Vietnam,1.83,0.21,0.73,0.89
60,Malta,1.594,0.56,0.16,0.88
61,Kenya,1.565,0.26,0.43,0.88
62,Peru,1.54,0.21,0.5,0.82
63,Nigeria,1.517,0.3,0.59,0.63
64,Jordan,1.108,0.24,0.26,0.6
65,Armenia,1.078,0.35,0.13,0.59
66,Bahrain,0.946,0.27,0.15,0.52
67,Belarus,0.936,0.32,0.12,0.5
68,Liechtenstein,0.923,0.23,0.12,0.57
69,Rwanda,0.918,0.1,0.34,0.47
70,Egypt,0.893,0.27,0.26,0.36
71,Saudi Arabia,0.864,0.23,0.18,0.46
72,Costa Rica,0.586,0.09,0.18,0.32
73,Mauritius,0.517,0.07,0.15,0.3
74,Lebanon,0.499,0.24,0.06,0.2
75,Pakistan,0.489,0.17,0.14,0.18
76,Kazakhstan,0.468,0.14,0.08,0.26
77,Moldova,0.462,0.12,0.09,0.25
78,Albania,0.451,0.12,0.1,0.23
79,Jamaica,0.419,0.11,0.09,0.22
80,Georgia,0.409,0.09,0.08,0.23
81,Ghana,0.399,0.1,0.11,0.18
82,Tunisia,0.395,0.14,0.07,0.19
83,Panama,0.355,0.09,0.08,0.19
84,Qatar,0.352,0.1,0.09,0.17
85,Bosnia and Herzegovina,0.351,0.1,0.08,0.17
86,Ecuador,0.33,0.12,0.06,0.15
87,Cape Verde,0.319,0.15,0.05,0.11
88,Mongolia,0.314,0.1,0.05,0.16
89,Azerbaijan,0.309,0.09,0.05,0.17
90,Kuwait,0.259,0.04,0.09,0.12
91,Paraguay,0.253,0.07,0.06,0.12
92,Sri Lanka,0.245,0.09,0.04,0.12
93,Bangladesh,0.241,0.08,0.08,0.09
94,Somalia,0.224,0.14,0.05,0.04
95,Morocco,0.22,0.06,0.05,0.12
96,Dominican Republic,0.197,0.06,0.04,0.09
97,Uganda,0.18,0.07,0.04,0.07
98,Nepal,0.172,0.06,0.04,0.08
99,Namibia,0.165,0.04,0.05,0.07
100,Ethiopia,0.162,0.07,0.06,0.03
