city,latitude,longitude
San Francisco Bay,37.71402905,-122.30779415179862
New York,40.7127281,-74.0060152
Beijing,39.906217,116.3912757
Los Angeles Area,40.3562217,-3.6996388
London,51.5073219,-0.1276474
Boston Area,14.5878489,120.9678975
Shanghai,31.2322758,121.4692071
Tel Aviv Area,32.10877,34.8391267
Moscow,55.7504461,37.6174943
Bangalore,12.9767936,77.590082
Paris,48.8588897,2.3200410217200766
Seattle,47.6038321,-122.3300624
Berlin,52.5170365,13.3888599
New Delhi,28.6138954,77.2090057
Tokyo,35.6828387,139.7594549
Mumbai,19.0759899,72.8773928
Chicago,41.8755616,-87.6244212
Austin,30.2711286,-97.7436995
Washington DC Area,38.8841115,-77.0243995
Sao Paulo,-23.5506507,-46.6333824
Shenzhen,22.5445741,114.0545429
San Diego,32.7174202,-117.1627728
Seoul,37.5666791,126.9782914
Stockholm,59.3251172,18.0710935
Singapore City,40.736308750000006,-73.86109847714846
Toronto,43.6534817,-79.3839347
Dallas-Fort Worth,32.7453157,-97.3278313
Atlanta,33.7489924,-84.3902644
Amsterdam,52.3727598,4.8936041
Denver,39.7392364,-104.9848623
Miami Area,41.1217032,-92.8384233993788
Hong Kong,22.2793278,114.1628131
Hangzhou,30.2489634,120.2052342
Jakarta,-6.1753942,106.827183
Philadelphia,39.9527237,-75.1635262
Sydney,-33.8548157,151.2164539
Barcelona,41.3828939,2.1774322
Munich,48.1371079,11.5753822
Melbourne,-37.8142176,144.9631608
Raleigh Durham,37.6892095,-81.2812858
Taipei City,25.0452747,121.5078001
Vancouver,49.2608724,-123.113952
Minneapolis,44.9772995,-93.2654692
Helsinki,60.1674881,24.9427473
Madrid,40.4167047,-3.7035825
Montreal,45.5031824,-73.5698065
Phoenix,33.4484367,-112.0741417
Kiev,50.4500336,30.5241361
Detroit,42.3315509,-83.0466403
Mexico City,19.4326296,-99.1331785
Dublin,53.3497645,-6.2602732
Houston,29.7589382,-95.3676974
Portland,45.5202471,-122.6741949
Jerusalem,31.79592425,35.21198075969497
Salt Lake City,40.7596198,-111.8867975
Milan,45.4641943,9.1896346
Zurich,47.3744489,8.5410422
Charlotte,35.2272086,-80.8430827
Boulder,40.0149856,-105.270545
Buenos Aires,-34.6075682,-58.4370894
Copenhagen,55.6867243,12.5700724
Las Vegas,36.1672559,-115.148516
Nashville,36.1622767,-86.7742984
Hamburg,53.550341,10.000654
Guangzhou,23.1301964,113.2592945
Tallinn,59.4372155,24.7453688
Dubai,25.2653471,55.2924914
Manchester,53.4794892,-2.2451148
Istanbul,41.0096334,28.9651646
Santiago,9.8694953,-83.8092371349223
Bangkok,13.7525438,100.4934734
Brussels,50.8465573,4.351697
Pittsburgh,40.4416941,-79.9900861
Santa Barbara,34.4221319,-119.7026673
Columbus,39.9622601,-83.0007065
Cambridge,52.2055314,0.1186637
Bogota,4.6533326,-74.083652
Warsaw,52.2319581,21.0067249
Provo,40.2338438,-111.6585337
Kuala Lumpur,3.1516964,101.6942371
Tampa Bay Area,28.0111656,-82.3736474
Lisbon,38.7077507,-9.1365919
Prague,50.0874654,14.4212535
Vilnius,54.6870458,25.2829111
Vienna,48.2083537,16.3725042
Chengdu,30.6598628,104.0633717
Manila Area,40.4105142,-3.7082411
Sacramento,38.5810606,-121.493895
Ottawa,45.4211435,-75.6900574
Bristol,51.4538022,-2.5972985
Cincinnati,39.1014537,-84.5124602
Oxford,51.7520131,-1.2578499
Basel,47.5581077,7.5878261
Madison,43.074761,-89.3837613
Wilmington,39.7459468,-75.546589
Lausanne,46.5218269,6.6327025
Frankfurt,50.1106444,8.6820917
Kansas City,39.100105,-94.5781416
Oslo,59.9133301,10.7389701
Baltimore,39.2908816,-76.610759
Kitchener Waterloo,43.4539821,-80.49351959206325
Edinburgh,55.9533456,-3.1883749
Columbia,4.099917,-72.9088133
Pune,18.521428,73.8544541
Auckland,-36.852095,174.7631803
Hyderabad,17.360589,78.4740613
Orlando,28.5421109,-81.3790304
Stuttgart,48.7784485,9.1800132
Santa Cruz,28.469648,-16.2540884
San Antonio,29.4246002,-98.4951405
Bucharest,44.4361414,26.1027202
Brisbane,-27.4689682,153.0234991
New Orleans,29.9759983,-90.0782127
Birmingham,52.4796992,-1.9026911
Burlington,44.4761601,-73.212906
Calgary,51.0460954,-114.065465
Indianapolis,39.7683331,-86.1583502
Geneva,46.2017559,6.1466014
Haifa,32.8191218,34.9983856
Porto,41.1494512,-8.6107884
Sofia,-15.2538402,48.2562163
Lagos,6.4550575,3.3941795
The Hague,52.0799838,4.3113461
Kyoto,35.021041,135.7556075
Quebec City,46.8137431,-71.2084061
Edmonton,53.535411,-113.507996
Cologne,50.938361,6.959974
Osaka,34.6198813,135.490357
Albuquerque,35.0841034,-106.650985
Rhine-Neckar Area,50.8975531,7.018865
Utrecht,52.080985600000005,5.12768396945229
Toulouse,43.6044622,1.4442469
Chennai,13.0836939,80.270186
Budapest,47.4979937,19.0403594
Kaunas,54.8982139,23.9044817
Nairobi,-1.2832533,36.8172449
Malmö,55.6052931,13.0001566
Lima,-12.0621065,-77.0365256
St. Louis,38.6264256,-90.1995853
Rome,41.8933203,12.4829321
Kingston,17.9712148,-76.7928128
Buffalo,42.8867166,-78.8783922
Bend,44.0581728,-121.3153096
Curitiba,-25.4295963,-49.2712724
Cape Town,-33.928992,18.417396
Valencia,39.4697065,-0.3763353
Cleveland,41.4996562,-81.6936813
Rio de Janeiro,-22.9110137,-43.2093727
Monterrey,25.6802019,-100.315258
Krakow,50.0619474,19.9368564
Xiamen,24.4801069,118.0853479
Johannesburg,-26.205,28.049722
Athens,37.9839412,23.7283052
Belo Horizonte,-19.9227318,-43.9450948
Riga,56.9493977,24.1051846
Guadalajara,20.6720375,-103.338396
Eindhoven,51.4392648,5.478633
Ghent,51.0538286,3.7250121
Belgrade,44.8178131,20.4568974
Louisville,38.2542376,-85.759407
Bonn,50.735851,7.10066
Busan,35.1799528,129.0752365
Marseille,43.2961743,5.3699525
Lyon,45.7578137,4.8320114
Montevideo,-34.9058916,-56.1913095
Zug,47.1486137,8.5539378
Leipzig,51.3406321,12.3747329
Wrocław,51.1089776,17.0326689
Abu Dhabi,24.4538352,54.3774014
Lexington,38.0464066,-84.4970393
Gothenburg,57.7072326,11.9670171
Rotterdam,51.9244424,4.47775
Milwaukee,43.0349931,-87.922497
Wuhan,30.5951051,114.2999353
Perth,-31.9527121,115.8604796
Ahmedabad,23.0216238,72.5797068
Jacksonville,30.3321838,-81.655651
Zagreb,45.8131847,15.9771774
Ho Chi Minh City,10.7715512,106.6983801
Cairo,30.0443879,31.2357257
Mainz,50.0012314,8.2762513
New Haven,41.3082138,-72.9250518
Medellin,6.2443382,-75.573553
Ljubljana,46.0499803,14.5068602
Omaha,41.2587459,-95.9383758
Luxembourg City,49.6112768,6.129799
Glasgow,55.8609825,-4.2488787
Porto Alegre,-30.0324999,-51.2303767
Richmond,37.5385087,-77.43428
Brighton,50.8214626,-0.1400561
Hanoi,21.0294498,105.8544441
Riyadh,24.638916,46.7160104
Victoria,-36.5986096,144.6780052
Dusseldorf,51.2254018,6.7763137
Jaipur,26.9154576,75.8189817
Bratislava,48.1516988,17.1093063
Boise,43.6166163,-116.200886
Adelaide,-34.9281805,138.5999312
Saint Petersburg,59.938732,30.316229
Belfast,54.596391,-5.9301829
Amman,31.9515694,35.9239625
Graz,47.0708678,15.4382786
Charleston,32.7876012,-79.9402728
Sankt Gallen,47.4250593,9.3765878
Nanjing,32.0615652,118.7915079
Princeton,40.34833555,-74.6684230570877
Newcastle upon Tyne,54.9738474,-1.6131572
Reading,51.456659,-0.9696512
Hartford,41.764582,-72.6908547
Ankara,39.9207886,32.8540482
Birmingham-Hoover,33.3480971,-86.7974702
Leeds,53.7974185,-1.5437941
Lafayette,30.2240897,-92.0198427
Kolkata,22.5414185,88.35769124388872
Bordeaux,44.841225,-0.5800364
Changsha,28.1450774,113.2384362
